volcano_number;volcano_name;primary_volcano_type;country;region;subregion;elevation;tectonic_settings;evidence_category;major_rock;population_nearby
233014;Itasy Volcanic Field;Pyroclastic cone(s);Madagascar;Middle East and Indian Ocean;Indian Ocean (western);medium;Intraplate / Continental crust (>25 km);Eruption Dated;Trachyte / Trachydacite;alot
245030;Nabukelevu;Lava dome(s);Fiji;New Zealand to Fiji;Fiji Islands;low;Subduction zone / Crustal thickness unknown;Eruption Dated;Andesite / Basaltic Andesite;few
257100;Yasur;Stratovolcano;Vanuatu;Melanesia and Australia;Vanuatu;low;Subduction zone / Intermediate crust (15-25 km);Eruption Observed;Andesite / Basaltic Andesite;quite alot
243060;Tofua;Caldera;Tonga;New Zealand to Fiji;Tonga Islands;low;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Andesite / Basaltic Andesite;quite alot
257090;Traitor's Head;Stratovolcano;Vanuatu;Melanesia and Australia;Vanuatu;low;Subduction zone / Intermediate crust (15-25 km);Eruption Observed;Basalt / Picro-Basalt;few
355011;Taapaca;Complex;Chile;South America;Northern Chile, Bolivia and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Dated;Dacite;few
355012;Parinacota;Stratovolcano;Chile-Bolivia;South America;Northern Chile, Bolivia and Argentina;high;Subduction zone / Continental crust (>25 km);Eruption Dated;Andesite / Basaltic Andesite;few
354050;Yucamane;Stratovolcano(es);Peru;South America;Peru;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
354040;Tutupaca;Stratovolcano(es);Peru;South America;Peru;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
257070;Kuwae;Caldera;Vanuatu;Melanesia and Australia;Vanuatu;low;Subduction zone / Intermediate crust (15-25 km);Eruption Observed;Basalt / Picro-Basalt;quite alot
257060;Epi;Stratovolcano(es);Vanuatu;Melanesia and Australia;Vanuatu;low;Subduction zone / Intermediate crust (15-25 km);Eruption Observed;Basalt / Picro-Basalt;none
257040;Ambrym;Pyroclastic shield;Vanuatu;Melanesia and Australia;Vanuatu;medium;Subduction zone / Intermediate crust (15-25 km);Eruption Observed;Basalt / Picro-Basalt;few
354030;Huaynaputina;Stratovolcano;Peru;South America;Peru;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Dacite;few
245010;Taveuni;Shield;Fiji;New Zealand to Fiji;Fiji Islands;medium;Subduction zone / Crustal thickness unknown;Eruption Dated;Basalt / Picro-Basalt;few
257030;Ambae;Shield;Vanuatu;Melanesia and Australia;Vanuatu;medium;Subduction zone / Intermediate crust (15-25 km);Eruption Observed;Basalt / Picro-Basalt;few
354005;Huambo;Volcanic field;Peru;South America;Peru;high;Subduction zone / Continental crust (>25 km);Eruption Dated;Trachyandesite / Basaltic Trachyandesite;few
354004;Andahua-Orcopampa;Pyroclastic cone(s);Peru;South America;Peru;high;Subduction zone / Continental crust (>25 km);Eruption Dated;Trachyandesite / Basaltic Trachyandesite;alot
354006;Sabancaya;Stratovolcano(es);Peru;South America;Peru;high;Subduction zone / Continental crust (>25 km);Eruption Observed;Andesite / Basaltic Andesite;few
243110;Niuafo'ou;Shield;Tonga;New Zealand to Fiji;Tonga Islands;low;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;few
243120;Tafu-Maka;Submarine;Tonga;New Zealand to Fiji;Tonga Islands;low;Rift zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;none
243130;West Mata;Submarine;Tonga;New Zealand to Fiji;Tonga Islands;low;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Andesite / Basaltic Andesite;none
257020;Gaua;Stratovolcano;Vanuatu;Melanesia and Australia;Vanuatu;low;Subduction zone / Intermediate crust (15-25 km);Eruption Observed;Andesite / Basaltic Andesite;few
354000;Quimsachata;Lava dome;Peru;South America;Peru;high;Subduction zone / Continental crust (>25 km);Eruption Dated;Rhyolite;quite alot
244020;Tutuila;Tuff cone(s);United States;New Zealand to Fiji;Samoan and Wallis Islands;low;Subduction zone / Oceanic crust (< 15 km);Eruption Dated;Basalt / Picro-Basalt;alot
244010;Ofu-Olosega;Shield(s);United States;New Zealand to Fiji;Samoan and Wallis Islands;low;Subduction zone / Oceanic crust (< 15 km);Eruption Observed;Basalt / Picro-Basalt;few
